NEGERI,BAHAGIAN PILIHAN RAYA,NAMA CALON,PARTI,BILANGAN UNDI,STATUS
JOHOR,N. 01 - BULOH KASAP,ZAHARI BIN SARIP,BN,"9,186",MENANG
JOHOR,N. 01 - BULOH KASAP,NORSAMSU BIN MOHD YUSOF,PKR,"8,309",
JOHOR,N. 02 - JEMENTAH,CHIAM YOK MENG,BN,"9,335",
JOHOR,N. 02 - JEMENTAH,TAN CHEN CHOON,PKR,"16,336",MENANG
JOHOR,N. 02 - JEMENTAH,KHAIRUL FAIZI BIN AHMAD KAMIL,PAS,"1,986",HILANG DEPOSIT
JOHOR,N. 03 - PEMANIS,KOO SHIAW LEE,BN,"7,941",
JOHOR,N. 03 - PEMANIS,CHONG FAT FULL,PKR,"8,304",MENANG
JOHOR,N. 03 - PEMANIS,NORMALA BINTI SUDIRMAN,PAS,"2,151",HILANG DEPOSIT
JOHOR,N. 04 - KEMELAH,ANUAR BIN ABD. MANAP,BN,"8,481",
JOHOR,N. 04 - KEMELAH,SULAIMAN BIN MOHD NOR,PKR,"10,836",MENANG
JOHOR,N. 05 - TENANG,MOHD AZAHAR BIN IBRAHIM,BN,"6,575",
JOHOR,N. 05 - TENANG,NASHARUDIN BIN AWANG,PAS,794,HILANG DEPOSIT
JOHOR,N. 05 - TENANG,MOHD SOLIHAN BIN BADRI,PKR,"7,645",MENANG
JOHOR,N. 06 - BEKOK,TAN CHONG,BN,"7,514",
JOHOR,N. 06 - BEKOK,RAMAKRISHNAN A/L SUPPIAH ,PKR,"9,983",MENANG
JOHOR,N. 07 - BUKIT KEPONG,MOHD NOOR BIN TAIB,BN,"10,392",
JOHOR,N. 07 - BUKIT KEPONG,SAHRUDDIN BIN JAMAL,PKR,"11,665",MENANG
JOHOR,N. 07 - BUKIT KEPONG,MUHAMAD NUR IQBAL BIN ABD RAZAK,PAS,"1,761",HILANG DEPOSIT
JOHOR,N. 08 - BUKIT PASIR,NORIAH BINTI MAHAT,BN,"7,952",
JOHOR,N. 08 - BUKIT PASIR,NAJIB BIN LEP,PAS,"9,835",MENANG
JOHOR,N. 09 - GAMBIR,M ASOJAN A/L MUNIYANDY,BN,"7,192",
JOHOR,N. 09 - GAMBIR,MAHFODZ BIN MOHAMED,PAS,"1,806",HILANG DEPOSIT
JOHOR,N. 09 - GAMBIR,MAHIADDIN BIN MD YASIN,PKR,"10,280",MENANG
JOHOR,N. 10 - TANGKAK,GOH TEE TEE,BN,"8,435",
JOHOR,N. 10 - TANGKAK,EE CHIN LI,PKR,"13,512",MENANG
JOHOR,N. 11 - SEROM,ABDULL RAHIM BIN TALIB,BN,"9,450",
JOHOR,N. 11 - SEROM,FAIZUL AMRI BIN ADNAN,PKR,"11,774",MENANG
JOHOR,N. 11 - SEROM,MUSTAFFA BIN SALLEH,PAS,"2,708",HILANG DEPOSIT
JOHOR,N. 12 - BENTAYAN,LEE KIM HENG,BN,"4,649",
JOHOR,N. 12 - BENTAYAN,NG YAK HOWE ,PKR,"18,278",MENANG
JOHOR,N. 13 - SIMPANG JERAM,MOHD RADZI BIN AMIN ,BN,"6,953",
JOHOR,N. 13 - SIMPANG JERAM,MOHD MAZRI BIN YAHYA,PAS,"2,136",HILANG DEPOSIT
JOHOR,N. 13 - SIMPANG JERAM,AHMAD BIN HASHIM,BEBAS,28,HILANG DEPOSIT
JOHOR,N. 13 - SIMPANG JERAM,SALAHUDDIN BIN AYUB ,PKR,"14,640",MENANG
