NEGERI,BAHAGIAN PILIHAN RAYA,NAMA CALON,PARTI,BILANGAN UNDI ,STATUS
JOHOR,P. 140 - SEGAMAT,SUBRAMANIAM A/L K.V SATHASIVAM,BN,"18,584",
JOHOR,P. 140 - SEGAMAT,SANTHARA KUMAR A/L RAMANAIDU,PKR,"24,060",MENANG
JOHOR,P. 140 - SEGAMAT,KHAIRUL FAIZI BIN AHMAD KAMIL,PAS,"2,676",HILANG DEPOSIT
JOHOR,P. 141 - SEKIJANG,AYUB BIN RAHMAT,BN,"18,278",
JOHOR,P. 141 - SEKIJANG,NATRAH BINTI ISMAIL,PKR,"19,559",MENANG
JOHOR,P. 142 - LABIS,CHUA TEE YONG ,BN,"13,567",
JOHOR,P. 142 - LABIS,PANG HOK LIONG,PKR,"16,977",MENANG
JOHOR,P. 142 - LABIS,SARCHU BIN SAWAL,PAS,"2,034",HILANG DEPOSIT
JOHOR,P. 143 - PAGOH,ISMAIL BIN MOHAMED,BN,"16,631",
JOHOR,P. 143 - PAGOH,MAHIADDIN BIN MD YASIN,PKR,"23,558",MENANG
JOHOR,P. 143 - PAGOH,AHMAD NAWFAL BIN MAHFODZ,PAS,"2,483",HILANG DEPOSIT
JOHOR,P. 144 - LEDANG,HAMIM BIN SAMURI,BN,"26,040",
JOHOR,P. 144 - LEDANG,SYED IBRAHIM BIN SYED NOR,PKR,"34,706",MENANG
JOHOR,P. 144 - LEDANG,RUSMAN BIN KEMIN,PAS,"4,668",HILANG DEPOSIT
JOHOR,P. 145 - BAKRI,KOH CHON CHAI,BN,"15,507",
JOHOR,P. 145 - BAKRI,ZARUL @ MOHAMAD ZAHRUL BIN SALLEH,PAS,"7,575",HILANG DEPOSIT
JOHOR,P. 145 - BAKRI,YEO BEE YIN ,PKR,"38,718",MENANG
JOHOR,P. 146 - MUAR,RAZALI BIN IBRAHIM,BN,"15,388",
JOHOR,P. 146 - MUAR,SYED SADDIQ BIN SYED ABDUL RAHMAN,PKR,"22,341",MENANG
JOHOR,P. 146 - MUAR,ABDUL AZIZ BIN TALIB ,PAS,"4,354",HILANG DEPOSIT
JOHOR,P. 147 - PARIT SULONG,NORAINI BINTI AHMAD,BN,"24,481",MENANG
JOHOR,P. 147 - PARIT SULONG,ANIS AFIDA BINTI MOHD AZLI,PKR,"18,140",
JOHOR,P. 147 - PARIT SULONG,AHMAD ROSDI BIN BAHARI,PAS,"7,148",
JOHOR,P. 148 - AYER HITAM,WEE KA SIONG,BN,"17,076",MENANG
JOHOR,P. 148 - AYER HITAM,MARDI BIN MARWAN,PAS,"4,975",
JOHOR,P. 148 - AYER HITAM,LIEW CHIN TONG,PKR,"16,773",
JOHOR,P. 149 - SRI GADING,AB AZIZ BIN KAPRAWI,BN,"18,223",
JOHOR,P. 149 - SRI GADING,SHARUDDIN BIN MD SALLEH ,PKR,"21,511",MENANG
JOHOR,P. 149 - SRI GADING,M ASH'ARI BIN SIDON,PAS,"4,548",HILANG DEPOSIT
JOHOR,P. 150 - BATU PAHAT,HALIZA BINTI ABDULLAH,BN,"28,035",
JOHOR,P. 150 - BATU PAHAT,MAHFODZ BIN MOHAMED,PAS,"8,173",HILANG DEPOSIT
JOHOR,P. 150 - BATU PAHAT,MOHD RASHID BIN HASNON,PKR,"45,929",MENANG
JOHOR,P. 151 - SIMPANG RENGGAM,LIANG TECK MENG,BN,"14,682",
JOHOR,P. 151 - SIMPANG RENGGAM,MASZLEE BIN MALIK,PKR,"18,157",MENANG
JOHOR,P. 151 - SIMPANG RENGGAM,MOHD JUBRI BIN SELAMAT ,PAS,"2,983",HILANG DEPOSIT
JOHOR,P. 152 - KLUANG,GAN PING SHOU @ GAN PING SIEU,BN,"24,618",
JOHOR,P. 152 - KLUANG,WONG SHU QI,PKR,"47,671",MENANG
JOHOR,P. 152 - KLUANG,MUHAMMAD HASBULLAH BIN MD NAJIB ,PAS,"8,242",HILANG DEPOSIT
JOHOR,P. 153 - SEMBRONG,HISHAMMUDDIN BIN DATUK HUSSEIN,BN,"21,353",MENANG
JOHOR,P. 153 - SEMBRONG,ONN BIN ABU BAKAR,PKR,"14,691",
JOHOR,P. 154 - MERSING,ABD. LATIFF BIN AHMAD,BN,"19,806",MENANG
JOHOR,P. 154 - MERSING,A. RAHMAN BIN A. HAMID,PAS,"6,215",
JOHOR,P. 154 - MERSING,MD. NASIR BIN HASHIM,PKR,"11,347",
JOHOR,P. 155 - TENGGARA,ADHAM BIN BABA,BN,"20,142",MENANG
JOHOR,P. 155 - TENGGARA,YUHANITA BINTI YUNAN,PAS,"2,683",HILANG DEPOSIT
JOHOR,P. 155 - TENGGARA,NORJEPRI BIN MOHAMED JELANI,PKR,"14,209",
JOHOR,P. 156 - KOTA TINGGI,HALIMAH BINTI MOHD SADIQUE,BN,"26,407",MENANG
JOHOR,P. 156 - KOTA TINGGI,AZLINDA BINTI ABDUL LATIF ,PKR,"11,786",
JOHOR,P. 157 - PENGERANG,AZALINA BINTI OTHMAN,BN,"21,829",MENANG
JOHOR,P. 157 - PENGERANG,NORLIZA BINTI NGADIRAN,PKR,"10,412",
JOHOR,P. 158 - TEBRAU,HOU KOK CHUNG,BN,"27,310",
JOHOR,P. 158 - TEBRAU,CHOONG SHIAU YOON,PKR,"64,535",MENANG
JOHOR,P. 158 - TEBRAU,ABDULLAH BIN HUSIN,PAS,"12,098",HILANG DEPOSIT
JOHOR,P. 159 - PASIR GUDANG,MOHAMED KHALED BIN NORDIN,BN,"36,889",
JOHOR,P. 159 - PASIR GUDANG,AB. AZIZ BIN ABDULLAH,PAS,"6,278",HILANG DEPOSIT
JOHOR,P. 159 - PASIR GUDANG,HASSAN BIN ABDUL KARIM,PKR,"61,615",MENANG
JOHOR,P. 159 - PASIR GUDANG,SEY JOCK @ CHEE JOCK,BEBAS,227,HILANG DEPOSIT
JOHOR,P. 160 - JOHOR BAHRU,SHARIL@SHAHRIR BIN AB SAMAD,BN,"30,270",
JOHOR,P. 160 - JOHOR BAHRU,AKMAL NASRULLAH BIN MOHD NASIR,PKR,"50,052",MENANG
JOHOR,P. 161 - PULAI,NUR JAZLAN BIN MOHAMED,BN,"26,523",
JOHOR,P. 161 - PULAI,MOHD MAZRI BIN YAHYA,PAS,"4,332",HILANG DEPOSIT
JOHOR,P. 161 - PULAI,SALAHUDDIN BIN AYUB,PKR,"55,447",MENANG
JOHOR,P. 161 - PULAI,YAP KENG TAK,BEBAS,591,HILANG DEPOSIT
JOHOR,P. 162 - ISKANDAR PUTERI,TEOH SEW HOCK,BN,"35,862",
JOHOR,P. 162 - ISKANDAR PUTERI,LIM KIT SIANG ,PKR,"80,726",MENANG
JOHOR,P. 163 - KULAI,TANG NAI SOON,BN,"22,564",
JOHOR,P. 163 - KULAI,TEO NIE CHING,PKR,"55,312",MENANG
JOHOR,P. 163 - KULAI,JUWAHIR BIN AMIN,PAS,"6,667",HILANG DEPOSIT
JOHOR,P. 164 - PONTIAN,AHMAD BIN MASLAN,BN,"21,132",MENANG
JOHOR,P. 164 - PONTIAN,BAHAROM BIN MOHAMAD,PAS,"4,295",HILANG DEPOSIT
JOHOR,P. 164 - PONTIAN,KARMAINE BIN SARDINI,PKR,"20,299",
JOHOR,P. 165 - TANJUNG PIAI,WEE JECK SENG,BN,"20,731",
JOHOR,P. 165 - TANJUNG PIAI,MD FARID BIN MD RAFIK,PKR,"21,255",MENANG
JOHOR,P. 165 - TANJUNG PIAI,NORDIN BIN OTHMAN,PAS,"2,962",HILANG DEPOSIT
KEDAH,P. 004 - LANGKAWI,MAHATHIR BIN MOHAMAD,PKR,"18,954",MENANG
KEDAH,P. 004 - LANGKAWI,ZUBIR BIN AHMAD,PAS,"5,512",
KEDAH,P. 004 - LANGKAWI,NAWAWI BIN AHMAD,BN,"10,061",
KEDAH,P. 005 - JERLUN,OTHMAN BIN AZIZ,BN,"12,413",
KEDAH,P. 005 - JERLUN,ABD. GHANI BIN AHMAD,PAS,"12,829",
KEDAH,P. 005 - JERLUN,MUKHRIZ MAHATHIR,PKR,"18,695",MENANG
KEDAH,P. 006 - KUBANG PASU,AMIRUDDIN BIN HAMZAH,PKR,"29,984",MENANG
