NEGERI,KOD DAN NAMA PARLIMEN,KOD DAN NAMA DUN
JOHOR,P.140 - SEGAMAT,N. 01 - BULOH KASAP
JOHOR,P.140 - SEGAMAT,N. 01 - BULOH KASAP
JOHOR,P.140 - SEGAMAT,N. 02 - JEMENTAH
JOHOR,P.140 - SEGAMAT,N. 02 - JEMENTAH
JOHOR,P.140 - SEGAMAT,N. 02 - JEMENTAH
JOHOR,P.141 - SEKIJANG,N. 03 - PEMANIS
JOHOR,P.141 - SEKIJANG,N. 03 - PEMANIS
JOHOR,P.141 - SEKIJANG,N. 03 - PEMANIS
JOHOR,P.141 - SEKIJANG,N. 04 - KEMELAH
JOHOR,P.141 - SEKIJANG,N. 04 - KEMELAH
JOHOR,P.142 - LABIS,N. 05 - TENANG
JOHOR,P.142 - LABIS,N. 05 - TENANG
JOHOR,P.142 - LABIS,N. 05 - TENANG
JOHOR,P.142 - LABIS,N. 06 - BEKOK
JOHOR,P.142 - LABIS,N. 06 - BEKOK
JOHOR,P.143 - PAGOH,N. 07 - BUKIT KEPONG
JOHOR,P.143 - PAGOH,N. 07 - BUKIT KEPONG
JOHOR,P.143 - PAGOH,N. 07 - BUKIT KEPONG
JOHOR,P.143 - PAGOH,N. 08 - BUKIT PASIR
JOHOR,P.143 - PAGOH,N. 08 - BUKIT PASIR
JOHOR,P.144 - LEDANG,N. 09 - GAMBIR
JOHOR,P.144 - LEDANG,N. 09 - GAMBIR
JOHOR,P.144 - LEDANG,N. 09 - GAMBIR
JOHOR,P.144 - LEDANG,N. 10 - TANGKAK
JOHOR,P.144 - LEDANG,N. 10 - TANGKAK
JOHOR,P.144 - LEDANG,N. 11 - SEROM
JOHOR,P.144 - LEDANG,N. 11 - SEROM
JOHOR,P.144 - LEDANG,N. 11 - SEROM
JOHOR,P.145 - BAKRI,N. 12 - BENTAYAN
JOHOR,P.145 - BAKRI,N. 12 - BENTAYAN
JOHOR,P.145 - BAKRI,N. 13 - SIMPANG JERAM
